pop_total,sex_total,sex_male,sex_female,age_median,households,race_total,race_white,race_black,race_native,race_asian,inc_total_pop,inc_no_pop,inc_with_pop,inc_pop_10k,inc_pop_1k_15k,inc_pop_15k_25k,inc_pop_25k_35k,inc_pop_35k_50k,inc_pop_50k_65k,inc_pop_65k_75k,inc_pop_75k,inc_median_ind,travel_total_to_work,travel_driving_to_work,travel_pt_to_work,travel_taxi_to_work,travel_cycle_to_work,travel_walk_to_work,travel_work_from_home,edu_total_pop,bachelor_male_25_34,master_phd_male_25_34,bachelor_male_35_44,master_phd_male_35_44,bachelor_male_45_64,master_phd_male_45_64,bachelor_male_65_over,master_phd_male_65_over,bachelor_female_25_34,master_phd_female_25_34,bachelor_female_35_44,master_phd_female_35_44,bachelor_female_45_64,master_phd_female_45_64,bachelor_female_65_over,master_phd_female_65_over,edu_total,edu_bachelor,edu_master,edu_phd,inc_median_household,inc_per_capita,employment_total_labor,employment_employed,employment_unemployed,housing_units_total,housing_units_occupied,housing_units_vacant,rent_median,property_value_total,property_value_median,vehicle_total_imputed,state,state_fips,county_fips,tract_fips,full_ct_fips,household_size_avg,sex_male_ratio,race_white_ratio,race_black_ratio,race_native_ratio,race_asian_ratio,travel_driving_ratio,travel_pt_ratio,travel_taxi_ratio,travel_cycle_ratio,travel_walk_ratio,travel_work_home_ratio,edu_bachelor_ratio,edu_master_ratio,edu_phd_ratio,edu_higher_edu_ratio,employment_unemployed_ratio,vehicle_per_capita,vehicle_per_household,vacancy_ratio,FIPS,car_sum,pickup,pickup_p,suv,suv_p,sedan,sedan_p,japan_p,us_p
4396,4396,2289,2107,42.2,1579,4396,3721,272,20,215,3246,522,2724,230,158,145,205,252,146,121,1467,82164,2014,1679,3,0,10,36,266,3075,102,24,16,118,177,404,85,169,59,32,139,143,270,214,67,159,2924,915,703,148,168490,96293,3217,2152,1065,1809,1579,230,2070,1326,1104700,2014,FL,12,86,7300,12086007300,2.784040532,0.520700637,0.846451319,0.061874431,0.004549591,0.048908098,0.83366435,0.001489573,0,0.004965243,0.017874876,0.132075472,0.312927497,0.240424077,0.050615595,0.603967168,0.331053777,0.458143767,1.275490817,0.127142067,12086007300,18,1,5.5556,4,22.2222,8,44.4444,0,0
5111,5111,2270,2841,45.3,1742,5111,4798,20,0,293,4347,624,3723,693,563,765,538,476,136,80,472,23110,2601,2258,47,0,0,36,192,4294,52,101,115,21,145,92,32,43,110,57,59,52,136,119,110,59,3867,759,399,52,53525,27056,4327,2687,1640,1840,1742,98,1367,1045,324800,2601,FL,12,86,8906,12086008906,2.933983927,0.44414009,0.938759538,0.003913129,0,0.057327333,0.868127643,0.018069973,0,0,0.01384083,0.073817762,0.196276183,0.10318076,0.013447117,0.31290406,0.379015484,0.508902367,1.493111366,0.05326087,12086008906,23,2,8.6957,9,39.1304,7,30.4348,4.3478,8.6957
2839,2839,1205,1634,45.4,1049,2839,2773,40,0,19,2482,420,2062,493,352,579,229,218,117,14,60,17903,1432,1368,24,0,0,40,0,2461,56,12,4,14,37,21,23,7,43,0,30,0,63,0,27,7,2146,283,33,14,30440,16928,2482,1528,954,1076,1049,27,1088,178,158700,1432,FL,12,86,9020,12086009020,2.706387035,0.424445227,0.976752378,0.014089468,0,0.006692497,0.955307263,0.016759777,0,0,0.027932961,0,0.131873253,0.015377446,0.006523765,0.153774464,0.384367446,0.504402959,1.365109628,0.025092937,12086009020,44,5,11.3636,11,25,19,43.1818,2.2727,9.0909
6079,6079,2975,3104,33,2095,6079,5560,72,0,146,4878,901,3977,628,364,863,640,591,385,143,363,26589,3328,2865,26,57,0,0,314,4746,191,84,252,53,151,35,37,9,249,178,88,43,74,70,36,0,4192,1078,319,60,58410,22469,4792,3402,1390,2460,2095,365,1770,320,162300,3328,FL,12,86,9024,12086009024,2.901670644,0.489389702,0.914624116,0.011844053,0,0.024017108,0.860877404,0.0078125,0.017127404,0,0,0.094350962,0.257156489,0.076097328,0.014312977,0.347566794,0.290066778,0.547458464,1.588544153,0.148373984,12086009024,18,0,0,3,16.6667,13,72.2222,0,5.5556
2279,2279,1107,1172,44.9,845,2279,2152,31,73,2,1985,395,1590,394,135,552,249,153,63,22,22,19610,1068,886,124,13,0,32,0,1884,13,9,41,3,27,0,22,10,24,6,86,0,30,29,26,24,1726,269,64,6,32386,15978,1939,1110,829,994,845,149,1341,280,154400,1068,FL,12,86,9026,12086009026,2.69704142,0.485739359,0.944273804,0.013602457,0.032031593,0.000877578,0.829588015,0.116104869,0.012172285,0,0.029962547,0,0.15585168,0.037079954,0.003476246,0.196407879,0.427539969,0.468626591,1.263905325,0.149899396,12086009026,41,0,0,13,31.7073,25,60.9756,9.7561,4.878
5976,5976,2807,3169,41.4,1837,5976,5620,82,0,185,4784,897,3887,585,494,521,698,563,538,113,375,30121,3001,2729,10,0,14,18,177,4663,149,61,70,30,178,178,66,84,121,109,152,43,182,178,64,118,4339,982,471,59,63438,23638,4754,3077,1677,2109,1837,272,1688,1065,209000,3001,FL,12,86,9028,12086009028,3.253130103,0.469712182,0.94042838,0.013721553,0,0.030957162,0.909363545,0.003332223,0,0.004665112,0.005998001,0.05898034,0.226319428,0.108550357,0.013597603,0.348467389,0.352755574,0.502175368,1.633641807,0.128971076,12086009028,7,0,0,2,28.5714,4,57.1429,0,0
4187,4187,2000,2187,44.6,1443,4187,4087,18,0,0,3665,661,3004,525,317,687,378,313,414,169,201,24601,2087,1954,17,0,0,11,105,3570,127,35,37,73,131,98,47,42,76,25,181,23,104,46,64,9,3272,767,225,22,50332,23758,3655,2267,1388,1542,1443,99,1696,876,193200,2087,FL,12,86,9029,12086009029,2.901593902,0.477668975,0.976116551,0.004299021,0,0,0.936272161,0.008145664,0,0,0.005270724,0.050311452,0.234413203,0.068765281,0.006723716,0.3099022,0.379753762,0.498447576,1.446292446,0.064202335,12086009029,26,2,7.6923,5,19.2308,14,53.8462,3.8462,3.8462
5345,5345,2491,2854,40.9,1774,5345,5154,0,0,62,4513,751,3762,641,387,971,761,461,275,102,164,23671,2918,2662,88,8,0,97,30,4363,114,39,163,47,156,48,87,0,95,38,115,79,259,56,76,31,4044,1065,152,62,46226,20538,4462,3166,1296,1921,1774,147,1388,824,168000,2918,FL,12,86,9030,12086009030,3.012965051,0.466043031,0.964265669,0,0,0.011599626,0.912268677,0.030157642,0.002741604,0,0.033241947,0.010281014,0.263353116,0.037586548,0.015331355,0.316271019,0.290452712,0.545930776,1.644870349,0.076522644,12086009030,19,0,0,9,47.3684,9,47.3684,0,15.7895
4031,4031,1693,2338,41.5,1401,4031,3841,44,0,93,3433,524,2909,581,317,693,403,479,271,23,142,22725,2302,1897,110,0,28,107,123,3289,48,61,84,44,74,26,29,9,68,0,77,11,230,65,118,8,2851,728,158,11,47851,20488,3388,2391,997,1487,1401,86,1628,260,165100,2302,FL,12,86,9031,12086009031,2.87723055,0.419995038,0.952865294,0.010915406,0,0.023071198,0.82406603,0.047784535,0,0.012163336,0.046481321,0.053431798,0.255349,0.055419151,0.003858295,0.314626447,0.294273908,0.571074175,1.643112063,0.057834566,12086009031,35,1,2.8571,5,14.2857,18,51.4286,0,17.1429
4952,4952,2139,2813,35.5,1491,4952,4509,85,0,237,3746,885,2861,452,240,316,407,257,395,104,690,35881,2406,2142,42,0,0,20,186,3584,99,78,145,108,226,233,0,37,110,61,167,136,276,116,47,0,3172,1070,538,36,84861,29116,3707,2520,1187,2156,1491,665,2042,620,357400,2406,FL,12,86,9039,12086009039,3.321260899,0.431946688,0.910541195,0.017164782,0,0.047859451,0.890274314,0.017456359,0,0,0.008312552,0.077306733,0.337326608,0.169609079,0.011349306,0.518284994,0.320205018,0.485864297,1.613682093,0.308441558,12086009039,4,0,0,2,50,0,0,0,25
